Scenario,Average,CI-L,CI-H
1,26.2817175733,25.4020607946,27.161374352
2,14.8828245512,14.073151398,15.6924977045
3,6.98198814643,6.73441896979,7.22955732307
4,26.6187341971,25.7321318207,27.5053365736
5,14.6686300139,13.8120604996,15.5251995282
6,6.98198814643,6.73441896979,7.22955732307
7,26.0854483956,25.1658644548,27.0050323365
8,15.4363355554,14.539933948,16.3327371628
9,6.98198814643,6.73441896979,7.22955732307
10,34.9437799657,33.7234271244,36.1641328071
11,32.3157631068,31.2551974374,33.3763287763
12,7.04203524219,6.79448424603,7.28958623835
13,36.5229321472,35.5913333895,37.4545309049
14,32.984316391,31.8590943084,34.1095384736
15,7.08126601142,6.81461666261,7.34791536023
16,36.3424958858,35.2044307731,37.4805609984
17,31.936880304,30.8464356937,33.0273249142
18,7.10389639691,6.85354662931,7.3542461645
19,28.1595109928,26.9563196705,29.3627023151
20,36.6213886424,35.4538137589,37.7889635259
21,11.5476230481,10.7468079897,12.3484381065
22,28.0772616583,26.9122871079,29.2422362086
23,36.3723448911,35.2437282205,37.5009615618
24,11.4157594286,10.5463598065,12.2851590508
25,28.4303081322,27.2887105258,29.5719057385
26,36.8837682487,35.7863156857,37.9812208116
27,11.617596296,10.7888000946,12.4463924975
28,20.9946605844,20.2323957439,21.7569254249
29,27.1911820771,25.9955768751,28.386787279
30,31.4129306684,30.8254676066,32.0003937302
31,20.9946605844,20.2323957439,21.7569254249
32,27.9446436914,26.8203244485,29.0689629342
33,31.4129306684,30.8254676066,32.0003937302
34,20.9946605844,20.2323957439,21.7569254249
35,26.8126068376,25.6969555182,27.928258157
36,31.4129306684,30.8254676066,32.0003937302
37,10.7476882503,10.2052879611,11.2900885395
38,11.0103107107,10.4509847577,11.5696366637
39,11.1197182407,10.5552649914,11.68417149
40,9.04133711009,8.50859918044,9.57407503975
41,8.47377003087,8.04676396006,8.90077610167
42,8.88806251375,8.41810013395,9.35802489354
43,6.98198814643,6.73441896979,7.22955732307
44,6.98198814643,6.73441896979,7.22955732307
45,6.98198814643,6.73441896979,7.22955732307
46,25.7712975413,24.8636706053,26.6789244773
47,16.7688194207,15.6928982507,17.8447405908
48,10.3646422694,9.78012929411,10.9491552447
