ID,Scenario,Time
1,1,4728
2,1,4726
3,1,4846
4,1,4712
5,1,4660
6,1,4844
7,1,4686
8,1,4753
9,1,4730
10,1,4723
11,1,5689
12,1,5868
13,1,6275
14,1,7483
15,1,6412
16,1,5513
17,1,4949
18,1,4640
19,1,5069
20,1,5720
21,1,4830
22,1,4606
23,1,4709
24,1,4747
25,1,4617
26,1,4672
27,1,4679
28,1,4690
29,1,4564
30,1,4779
31,1,4857
32,1,6109
33,1,5805
34,1,4572
35,1,4915
36,1,4726
37,1,4503
38,1,4961
39,1,4584
40,1,4513
41,1,4599
42,1,4645
43,1,4528
44,1,4688
45,1,5154
46,1,4615
47,1,4661
48,1,4657
49,1,4572
50,1,4535
51,1,5471
52,1,5344
53,1,5313
54,1,5283
55,1,5328
56,1,5230
57,1,5430
58,1,5328
59,1,5246
60,1,5567
61,1,3734
62,1,3616
63,1,3671
64,1,3662
65,1,3697
66,1,3593
67,1,3857
68,1,3833
69,1,3841
70,1,3717
71,1,3771
72,1,3669
73,1,3861
74,1,3634
75,1,3590
76,1,3678
77,1,3583
78,1,3631
79,1,3689
80,1,3709
81,1,4580
82,1,4697
83,1,4580
84,1,4785
85,1,4571
86,1,4645
87,1,4626
88,1,5121
89,1,5087
90,1,4733
91,1,4638
92,1,4599
93,1,4478
94,1,4543
95,1,4533
96,1,4513
97,1,4626
98,1,4512
99,1,4534
100,1,4489
101,2,4711
102,2,4805
103,2,4717
104,2,4709
105,2,4757
106,2,4710
107,2,4731
108,2,4928
109,2,4873
110,2,4681
111,2,5354
112,2,5143
113,2,5136
114,2,5182
115,2,5149
116,2,5449
117,2,5550
118,2,4745
119,2,6966
120,2,5197
121,2,4716
122,2,4832
123,2,4930
124,2,4838
125,2,4737
126,2,4622
127,2,4758
128,2,4603
129,2,4669
130,2,4671
131,2,4596
132,2,11395
133,2,5121
134,2,4518
135,2,4612
136,2,4732
137,2,4558
138,2,4549
139,2,4748
140,2,4590
141,2,4582
142,2,4587
143,2,4538
144,2,4523
145,2,4626
146,2,4587
147,2,4570
148,2,4515
149,2,4545
150,2,4553
151,2,6126
152,2,5628
153,2,5599
154,2,5512
155,2,5632
156,2,5366
157,2,5942
158,2,5481
159,2,5239
